candidate_id,query_name,official_id,final_benchmark_group,g_class,design_pattern,collection_name,root_entity,db_name,documents_inserted,loaded_collections_json,elapsed_seconds,load_status,error_message
ldbc_snb_ins6_g7_2ba4aefb,INS6_AddPost,INS6,secondary_affected,G7,containment_baseline,posts,Post,ldbc_snb_sf1_exec_clean_ldbc_snb_ins6_g7_2ba4aefb,6897771,"{""posts"": 1003605, ""persons"": 9892, ""forums"": 90492, ""places"": 1460, ""tags"": 16080, ""post_has_creator_person"": 1003605, ""forum_container_of_post"": 1003605, ""post_is_located_in_place"": 1003605, ""post_has_tag"": 713258, ""comments"": 2052169}",117.87236051799846,completed,
ldbc_snb_ins6_g9_0dad4d32,INS6_AddPost,INS6,secondary_affected,G9,hybrid_containment,posts,Post,ldbc_snb_sf1_exec_clean_ldbc_snb_ins6_g9_0dad4d32,6897771,"{""posts"": 1003605, ""persons"": 9892, ""forums"": 90492, ""places"": 1460, ""tags"": 16080, ""post_has_creator_person"": 1003605, ""forum_container_of_post"": 1003605, ""post_is_located_in_place"": 1003605, ""post_has_tag"": 713258, ""comments"": 2052169}",118.65043132801657,completed,
ldbc_snb_ins7_g0_1f628fad,INS7_AddComment,INS7,primary,G0,root_with_references,comments,Comment,ldbc_snb_sf1_exec_clean_ldbc_snb_ins7_g0_1f628fad,12028598,"{""comments"": 2052169, ""persons"": 9892, ""posts"": 1003605, ""places"": 1460, ""tags"": 16080, ""comment_has_creator_person"": 2052169, ""comment_reply_of_post"": 1011420, ""comment_reply_of_comment"": 1040749, ""comment_is_located_in_place"": 2052169, ""comment_has_tag"": 2698393, ""forums"": 90492}",175.9475522490102,completed,
ldbc_snb_ins7_g3_e7300dd8,INS7_AddComment,INS7,primary,G3,root_with_references_or_summaries,comments,Comment,ldbc_snb_sf1_exec_clean_ldbc_snb_ins7_g3_e7300dd8,12028598,"{""comments"": 2052169, ""persons"": 9892, ""posts"": 1003605, ""places"": 1460, ""tags"": 16080, ""comment_has_creator_person"": 2052169, ""comment_reply_of_post"": 1011420, ""comment_reply_of_comment"": 1040749, ""comment_is_located_in_place"": 2052169, ""comment_has_tag"": 2698393, ""forums"": 90492}",175.18461821199162,completed,
ldbc_snb_ins7_g7_c86de251,INS7_AddComment,INS7,secondary_affected,G7,containment_baseline,comments,Comment,ldbc_snb_sf1_exec_clean_ldbc_snb_ins7_g7_c86de251,12028598,"{""comments"": 2052169, ""persons"": 9892, ""posts"": 1003605, ""places"": 1460, ""tags"": 16080, ""comment_has_creator_person"": 2052169, ""comment_reply_of_post"": 1011420, ""comment_reply_of_comment"": 1040749, ""comment_is_located_in_place"": 2052169, ""comment_has_tag"": 2698393, ""forums"": 90492}",176.5682107169996,completed,
ldbc_snb_ins7_g9_bcd2ce9b,INS7_AddComment,INS7,secondary_affected,G9,hybrid_containment,comments,Comment,ldbc_snb_sf1_exec_clean_ldbc_snb_ins7_g9_bcd2ce9b,12028598,"{""comments"": 2052169, ""persons"": 9892, ""posts"": 1003605, ""places"": 1460, ""tags"": 16080, ""comment_has_creator_person"": 2052169, ""comment_reply_of_post"": 1011420, ""comment_reply_of_comment"": 1040749, ""comment_is_located_in_place"": 2052169, ""comment_has_tag"": 2698393, ""forums"": 90492}",174.74197304298286,completed,
ldbc_snb_ins8_g0_2acc6939,INS8_AddFriendship,INS8,primary,G0,root_with_references,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ins8_g0_2acc6939,3338241,"{""persons"": 9892, ""person_knows_person"": 180623, ""posts"": 1003605, ""comments"": 2052169, ""forums"": 90492, ""places"": 1460}",81.52841723299935,completed,
ldbc_snb_ins8_g3_8e5c5f42,INS8_AddFriendship,INS8,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ins8_g3_8e5c5f42,3338241,"{""persons"": 9892, ""person_knows_person"": 180623, ""posts"": 1003605, ""comments"": 2052169, ""forums"": 90492, ""places"": 1460}",81.43561288400088,completed,
ldbc_snb_is1_g0_edd90ee3,IS1_ProfileOfPerson,IS1,primary,G0,root_with_references,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_is1_g0_edd90ee3,3167510,"{""persons"": 9892, ""places"": 1460, ""person_is_located_in_place"": 9892, ""posts"": 1003605, ""comments"": 2052169, ""forums"": 90492}",79.03626997800893,completed,
ldbc_snb_is1_g3_6c817501,IS1_ProfileOfPerson,IS1,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_is1_g3_6c817501,3167510,"{""persons"": 9892, ""places"": 1460, ""person_is_located_in_place"": 9892, ""posts"": 1003605, ""comments"": 2052169, ""forums"": 90492}",78.89116690601804,completed,
